substrate,type,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,y.position,groups,xmin,xmax,tag,top,y.pos,p.scient,custom.label
BMCA,Unconjugated BA,content,Control,L.reuteriHQ,14,14,53,0.04,0.553,ns,4.796151999999999,,1,6,1,1.351318001673948,2.026977002510922,4.0e-02,0.04
BMCA,Unconjugated BA,content,Control,HQ,14,14,38,0.005,0.083,ns,5.17075,,1,7,2,1.351318001673948,2.5675042031805018,5.0e-03,0.005
CA,Unconjugated BA,content,Control,HQ,14,14,25,4.21e-4,0.008,**,4.10075,,1,7,1,0.8409897192242397,1.2614845788363596,4.2e-04,4.21e-4
CDCA,Unconjugated BA,content,Control,L.animalis,14,14,154,0.009,0.11,ns,1.039358,,1,3,1,0.16936593025680874,0.25404889538521314,9.0e-03,0.009
CDCA,Unconjugated BA,content,Control,HQ,14,14,30,0.001,0.02,*,2.537749999999999,,1,7,2,0.16936593025680874,0.32179526748793663,1.0e-03,0.001
DCA,Unconjugated BA,content,Control,HQ,14,14,35,0.003,0.056,ns,2.4367499999999995,,1,7,1,0.09081729017923328,0.1362259352688499,3.0e-03,0.003
GCDCA,Conjugated BA,content,Control,L.reuteri,14,14,146,0.027,0.548,ns,1.105956,,1,4,1,1.1061661061249663e-4,1.6592491591874495e-4,2.7e-02,0.027
GCDCA,Conjugated BA,content,Control,L.salvarious,14,14,157,0.006,0.121,ns,1.4805539999999997,,1,5,2,1.1061661061249663e-4,2.1017156016374361e-4,6.0e-03,0.006
TCA,Conjugated BA ,content,Control,HQ,14,14,51,0.031,0.434,ns,5.20275,,1,7,1,1.5009742792302092,2.251461418845314,3.1e-02,0.031
TCDCA,Conjugated BA ,content,Control,L.reuteriHQ,14,14,38,0.005,0.083,ns,1.8961519999999996,,1,6,1,0.012213213037479454,0.018319819556219183,5.0e-03,0.005
TCDCA,Conjugated BA ,content,Control,HQ,14,14,55,0.05,0.696,ns,2.2707499999999996,,1,7,2,0.012213213037479454,0.023205104771210964,5.0e-02,0.05
TDCA,Conjugated BA ,content,Control,L.reuteriHQ,14,14,31,0.001,0.027,*,2.0161519999999995,,1,6,1,0.06937021403959703,0.10405532105939555,1.0e-03,0.001
TDCA,Conjugated BA ,content,Control,HQ,14,14,37,0.004,0.071,ns,2.3907499999999993,,1,7,2,0.06937021403959703,0.13180340667523438,4.0e-03,0.004
TUDCA,Conjugated BA ,content,Control,L.reuteri,14,14,144,0.035,0.7,ns,1.1539559999999998,,1,4,1,0.009337717571891474,0.014006576357837211,3.5e-02,0.035
TUDCA,Conjugated BA ,content,Control,HQ,14,14,149,0.019,0.391,ns,2.2777499999999997,,1,7,2,0.009337717571891474,0.017741663386593803,1.9e-02,0.019
UDCA,Unconjugated BA,content,Control,L.reuteriHQ,14,14,36,0.004,0.049,*,2.0091519999999994,,1,6,1,0.08362759914245743,0.12544139871368615,4.0e-03,0.004
UDCA,Unconjugated BA,content,Control,HQ,14,14,23,2.69e-4,0.005,**,2.383749999999999,,1,7,2,0.08362759914245743,0.15889243837066913,2.7e-04,2.69e-4
